ORIGINAL_TITLE,PLOT
Future Missions,"NASA has taken us to the outer reaches of our solar system, but there are still many mysteries to explore. New probes are being designed to look at our sun, the deep oceans of icy moons, and perhaps even our closest neighboring system - Alpha Centauri."
"Space Problems, Sh*t Problems, Minnesota Problems","[HBO] HD. 'Space problems, Sh*t problems, Minnesota problems.' (Season One) Wyatt explores space, alternative fuel and Minnesota policing."
The Secret World of Massage Parlors,Lisa Ling Investigates the massage parlor industry and how it coincides with trafficking.
"3 1/2 Minutes, 10 Bullets","In 3 1/2 Minutes, Ten Bullets, two lives intersected and were forever altered."
Robert Durst Part 2: Nobody Tells the Whole Truth,"Six weeks after jumping bail in Galveston, Texas, Robert Durst is caught on a store security camera in Pennsylvania shoplifting a sandwich and is quickly sent back to Galveston to stand trial for the murder of his neighbor, Morris Black."
For All Mankind,"An in-depth look at various NASA moon landing missions, starting with Apollo 8."
Quagmire: Bush's Second Term,"This episode explores President Bush's desire to end insurgency in Iraq while seeking re-election. In his second term, he must respond to Hurricane Katrina, a burgeoning financial meltdown and his own plummeting poll numbers."
The Fountain of Youth,Comparing the youth scene in Florida to the lives of those in retirement communities.
Can We All Get Along?,The Clarence Thomas/Anita Hill hearings; racially fueled events like Al Sharpton and the Crown Height riots; Rodney King and the LA riots; OJ Simpson and his murder trial.
"Sekigahara, la bataille des samouraïs",The shape of Japan's internal politics and the country's response to external influences for centuries can be traced back to the choices of two warlords and a decisive battle. What was the Edo Period and how did it mold Japanese society?
Part Two,"The second part of this two-part documentary chronicles Russia's interference in the 2016 election explores the origins of the Steele dossier, the negotiations to build Trump Tower in Moscow, and Paul Manafort's secret communications with Russia during the 2016 campaign."
16 Days of Glory,"The definitive photographic record of the 1984 Los Angeles Olympics, told ""from the inside"" through the lives of the participants, the words of David Perry, and the singing voice of Placido Domingo. From the opening to closing ceremonies, this unique style of storytelling shows a side of the Olympic Games not seen by television audiences."
Wild Card: The Downfall of a Radio Loudmouth,A documentary that charts the rise and fall of prominent New York sports radio personality Craig Carton.
"Internet, les origines du Web","What if the source codes for the internet had remained with the US military, rather than being released to the world? How did our lives of unfettered internet access become a reality?"
Love Without Limits,Louix Theroux explores whether the traditional model of marriage is still fit for purpose.
First Ladies,This edition examines the challenges of a modern marriage through a sports lens as it focuses on three sports couples whose vows shape their decisions on and off the field.
Sweet Home Mobile Alabama,W. Kamau Bell's father helps him learn more about his roots and debunk some myths about the South.
Part 3,This Earth Day special showcases the ways in which kids are doing their part to clean up the environment.
Peur,"The French army stops the German advance at the battle of the Marne, while the Germans halt the Russians at Tannenberg on the eastern front. In France, the warring parties dig themselves in for 4 years in the trenches. Soldiers from the colonies come lend a hand to their colonizers and the war becomes global."
Chicago,"Chicago is revealed through the memories and stories of the people who live there - primarily a select few, drawn from the regulars at The Old Town Ale House, one of Chicago's most iconic bars."
"Africa Special, Part 1","In the first of a two-part Top Gear special, Jeremy Clarkson, Richard Hammond and James May are in Africa with a simple mission - to find the definitive source of the Nile. Over the years many explorers claim to have already done just that, but the Top Gear trio believe that they can do better by traveling using only grit, ingenuity and three ageing estate cars."
The Black and White of Heroin,"Lisa Ling goes to one of America's hardest hit cities,Chicago, to investigate whether a gentler approach to heroin use is being applied equally to the rich and poor, black and white."
Devestating Blow,"On the eve of the Muck Bowl, an eligibility issue deals Glades Central's playoff hopes a serious setback, sparking tension between coaching staffs."
Saving Sea Lions,"Host Jeff Corwin travels aboard a research boat off the coast of Alaska for a three-day adventure with Steller sea lions. Despite continued protection and conservation, the populations of western Steller sea lions are not improving - and Jeff and the research team from the Alaksa SeaLife Center want to find out why. Jeff dives with scientists to locate sea lions and bring them on to a research boat to assess their health and track their behavior."
The Reluctant King,"In the second episode, George VI is crowned King. With this new title comes the responsibility of rebuilding the prestige of the monarchy after the scandal caused by his brother King Edward VIII."
Fiery Plane Crash,The National Transportation Safety Board indicates that there are on average five small personal plane crashes every day in the United States. How could anyone hope to walk away from something as spectacular as this?
Arthur Miller: Writer,"Rebecca Miller presents a portrait of her father, the prolific American playwright Arthur Miller."
The i Decade,"This episode explores the rise of Apple, Amazon, Facebook and Google."
I Want My MP3,"The growth of the music industry and its challenges with adapting to new digital formats such as Napster, YouTube, and MySpace, growth of hip hop, rap, and R&B in to mainstream culture, and responses to 9/11 in country and rock music."
A Horse's Tale,"This film transports us into the fascinating world of horses using footage from anthropologist turned filmmaker Niobe Thompson, and film director Richard Mullane. Narrated by Kate Winslet."
Furry Nation,"Lisa profiles three members of the ""furry fandom,"" fans of anthropomorphic animal characters, and visits a convention in Seattle."
The Fall,"Keith hasn't been seen in Clifton Park for weeks, and the team gets a tip on where he might be. Catherine meets with India, who maintains her position. Sarah, Bonnie, Mark, Nippy, and Catherine face a shocking development in the case."
Houston,"Looking beyond oil, NASA, and football, Bourdain explores Houston's diverse cultures, taking in a Bollywood-style dance in a grocery store, a Quincea?era in suburban Pasadena, and the city's slab car parade, while making time for Viet-Bayou crawfish, East Texas barbecue, and a Congolese-Cajun stew."
Jackie & Nina,"Jackie and Nina, best friends from San Antonio, decide to honor their multi-generational Mexican-American heritage by mixing their joint quince with their love of escaramuza, a traditional Mexican horse-dancing display."
It's a Hard Truth Ain't It,"[HBO] HD. A companion to HBO Films' ""O.G.,"" this documentary is co-directed by 13 incarcerated men who reflect on their lives."
Homemade Ambulance Challenge,The boys attempt to improve emergency response times by creating their own ambulances. Daniel Ricciardo is a star in a reasonably priced car.
Jack's Big Six,Jungle Jack counts down The Big Five which are known as Africa's most iconic creatures and now they are also some of the rarest to be seen by tourists on safaris. He includes one more animal he cannot leave off the list.
Miami,"Anthony experiences an authentic Cuban breakfast thanks to Chef Michelle Bernstein. He visits Doral, known as Little Venezuela, to get a late night dinner from a gas station cafe."
"One Nation, Under Comedy",Exploring the evolution of racial humor; how comedy can cross cultural barriers to unite people.
"Sex, Drugs and Rock N' Roll","The counterculture shapes the youth of America thanks in great part to a changing morality, including views towards sex, the use of drugs and a new found expressiveness through music."
Thar' She Blows,Host Jeff Corwin travels to the remote coastlines of Alaska for a once in a lifetime adventure with Humpback whales. Jeff teams up with scientists who study whale behavior and work to understand the fascinating feeding habits of these massive mammals. Jeff also unlocks the secrets of whale communication by recording whale songs with the latest technology
The Wartime Popes,Wartime popes navigate their place as a spiritual leader in an increasingly political world.
Episode #4.5,"In this edition: Senator Lindsey Graham, Senator Joe Manchin, Brad Garlinghouse - CEO, Ripple; Albert Bourla - DVM, PhD, CEO, Pfizer."
The Party's Over,"Building a business with nothing but blind ambition, Ian Bick transforms himself from a nerdy teen into a concert promoter almost as legendary as the bands he books. As the teenager's EDM raves pack houses and feed his emerging VIP lifestyle with first-class trips, high-end shopping, and brand-new jet skis, his fall is as dramatic as his rise - culminating in an FBI raid that shocks his family, friends, and hometown."
Fighting Back: 1957-1962,"Following the U.S. Supreme Court's Brown Vs the Board of Education decision, the civil rights movement presses the issue of desegregation in schools. From Little Rock High School and Eisenhower's utilization of the 101st Airborne to Ole Miss and Kennedy's lobbying efforts."
The State of Texas vs. Robert Durst,"In 2003, Galveston, Texas, becomes a media circus as the press descends to cover Durst's trial."
Soldier of Fortune,"Liz Carmichael, trailblazing promoter of the fuel-efficient car of the future: The Dale. Just as publicity for the three-wheeled automobile reaches its peak, Liz, a trans woman, is outed as a fugitive who's spent the last several decades running from the law."
Clinton: The Comeback Kid,The election and presidency of Bill Clinton.
Outside the Bubble: On the Road with Alexandra Pelosi,"Intent on escaping her coastal bubble, Alexandra Pelosi sets out on a cross-country trip to engage in conversations with fellow Americans in an effort to gain an unfiltered understanding of other perspectives."
Autopsy: Confessions of a Medical Examiner,"Can the dead speak? Yes...but only to those who know how to listen. In this riveting documentary, Dr. Michael Baden, one of the country's most celebrated forensic pathologists, reveals the stories behind the cases of unnatural or suspicious death that he helped solve. In more than 20,000 autopsies over the past 32 years, Dr. Baden has uncovered the secrets of the dead and brought killers to justice, earning him the nickname, 'detective of death.'"
Who Killed Garrett Phillips?,The documentary examines and chronicles the years following the 2011 murder of 12-year-old Garrett Phillips and the subsequent trial of Clarkson University soccer coach Oral ""Nick"" Hillary.
Haiti,Romesh explores poverty stricken Haiti.
The Strange Case of Jeffrey Dahmer,"The chilling account of a man who survived his encounter with the notorious serial killer, who managed to evade police scrutiny for years."
Rock and a Hard Place,"A look at the Miami-Dade County Corrections and Rehabilitation Boot Camp Program, which allows young inmates undergo a strict 4 month course in order to learn from their past mistakes and make a better future for themselves."
The Poet of Havana,"Enter the world of internationally renown Cuban musician Carlos Varela...singer, song-writer, lyricist, one of the most influential and well-loved artists of his time as he celebrates his 30th anniversary in poignant performances. Discover his cultural, political and social significance. How he was influenced by his country, politics and people, and how he has influenced them in return. His struggle for individual freedoms, and his efforts to build bridges between Cuba, the United States, disenfranchised Cubans, and the people of the world. Shot in Havana, with unique access, exclusive interviews, stunning concert and insider back-stage moments. Varela is joined by international stars, his friends, Jackson Browne, Benicio del Toro, Ivan Lins, Luis Enrique, Juan and Samuel Formel, Diana Fuentes, X Alfonso, Alexander Abreu and more."
James Jordan: Vanished,"Who would want to murder the father of beloved superstar Michael Jordan? When in 1993, James Raymond Jordan Sr. goes missing and his luxury car is found stripped and abandoned in North Carolina, clues point to a tragic crime."
Women Who Fight,Lisa Ling steps into the cage with three female fighters who are turning the traditionally male sport of MMA on its head.
Age of Consent,"In this episode, Lisa explores the legal and social consequences of convicting adolescents and young adults of sex offenses - when does teenage sexuality cross the line and become a crime?"
Two Brothers,"After an eleven-year old girl is found suffocated with her own underwear, two step-brothers, ages 15 and 19, confess to the murder. After 30 years they were declared innocent and released."
Episode #27.1,"In their first adventure together, Freddie Flintoff, Chris Harris and Paddy McGuinness head to the searing heat of Ethiopia in their first cars. Back at the track, Chris puts the Ferrari 488 Pista and McLaren 600LT through their paces."
When Television Came of Age,Television experiences major milestones in the 1960s. The landscape of television changes.
"The Bronx, USA",The socio-cultural history of the Bronx.
John Wayne Gacy: Evil Secret Part 2,"This is the shocking and gruesome mystery of John Wayne Gacy, a popular Chicago businessman and part-time clown who was leading a double life in the 1970s. By day, Gacy was a community leader and helpful neighbor. But by night, he transformed into a monster who chose young male teens as his prey. How did this seemingly cheerful man become the most prolific serial killer of his day without anybody noticing and how was he ultimately caught?"
Cities of the Future,"What will our cities look like in 2050? How will they be able to accommodate the one million additional people who arrive every week? The challenge is enormous. To reduce the impact on the planet and the energy footprint and optimize exchanges within megacities, digital technologies will be crucial."
Fashion's Dirty Secrets,"Stacey Dooley travels the world to uncover the hidden costs of the addiction to fast fashion. She sees for herself how toxic chemicals released by the garment industry pollute waterways that millions of people rely on. She witnesses the former Aral Sea, once one of the largest bodies of fresh water, now reduced almost entirely to dust."
Episode #24.3,"Matt LeBlanc's review of the Aston Martin DB11 is thwarted by Chris Harris and a very evil Mercedes. Elsewhere, Rory Reid and Sabine Schmitz go supercar hunting on Germany's fearsome Nurburgring race circuit with the help of the VW Golf Clubsport S, while actress Tamsin Greig takes to the Top Gear track in the new Reasonably Fast Car."
Toxic Hot Seat,"TOXIC HOT SEAT follows a courageous group of firefighters and mothers, journalists and scientists, politicians and activists as they fight to expose a shadowy campaign of deception that left a toxic legacy in our homes and bodies - a campaign so cunning, it's taken nearly 40 years to unravel."
Airmail,"Host Mo Rocca shows us: The movie magic behind animal actors. The computerized farmer for your garden. How collecting water in Africa is less of a pain in the neck. And, how Airmail changed how we communicated."
Délivrance,"All seems lost for the Allies. The Italians are defeated at Caporette, and a Bolshevik Russia pulls out of the war. But the American reinforcements are decisive, and the Allies emerge victorious. The Allies are unable to negotiate an honorable peace agreement, and the Treaty of Versailles, 20 years later, will have disastrous consequences."
Ethel,"A documentary on Ethel Kennedy that provides an insider's view of a political dynasty, including her life with Robert F. Kennedy and the years following his death when she raised their eleven children on her own."
Demolish A House With Second-Hand Military Equipment Vs Demolition Experts,"The guys are challenged to knock down a row of derelict houses in less time than it takes a team of demolition experts to do the same job. Meanwhile, Jeremy tests an updated version of the classic Jensen Interceptor and finds himself transported back to a 1970s world of leather driving gloves and droopy moustaches. The incredible Lotus T125 also brings some F1-style performance to the track"
Robin Williams: Come Inside My Mind,"An intimate look into the life and work of the revered master comedian and actor, Robin Williams."
Family Annihilator,"North Carolina, 1976: After brutally slaying five family members and torching their bodies, former diplomat William Bradford Bishop Jr. flees overseas and eludes authorities for decades."
Battle of the Sexes,"The Women's Liberation Movement sweeps the country in the 70's. Women gain an improved empowerment with the Equal Rights Amendment. And a sexual revolution changes women's roles in sexual freedom's, birth control and relationships."
Human Sawdust,A suitcase leads to the gruesome discovery of a nearly perfect crime.
"Sugar Daddies, Sugar Babies","Lisa Ling dives into this world of youth, beauty, money, and sex. A host of websites have sprung up to match wealthy older men with young, attractive women. What are the true costs and benefits when sex, money, and power are on the line?"
Trafficking in Death,"Iowa, 2003: Guillermo Madrigal Ballesteros is suspected of letting 11 undocumented immigrants perish in an overheated rail car. The accused human trafficker then goes on the run from authorities."
In It Together,"Comedy teams and duos were always one of comedy staples, but what made the best of them so great and why aren't there more of them today?"
The Motherlode,Michelle and her editors agree to push her book deadline after being granted access to the Orange County Sheriff's Department's East Area Rapist / Original Night Stalker (EAR/ONS) room.
"Tchernobyl, un réacteur hors de contrôle","The decisions of only a handful of individuals determined the course of the nuclear disaster at Chernobyl. What transpired over a few hours would have an impact on the local community, Russia, Europe and the globe."
Ted Bundy Part 3: The Murder Trials,"The murder trials and appeals. Ted Bundy helped prepare his own defense, but would his amateur lawyering help him beat the rap or send him to the electric chair?"
The Leisure Class,"William is a debonair Englishman celebrating his upcoming marriage to Fiona, the beautiful daughter of a United States senator and renowned East Coast family. Yet William is a con man with a fake identity looking steal funds from the senator's charitable organization. When William realizes he has genuine feelings for Fiona he begins to regret his predicament."
The War Room,A documentary of the Bill Clinton 1992 presidential campaign and the organization who ran it.
Every Brilliant Thing,A son creates a list of things worth living for--all in an attempt to raise the spirits of his chronically depressed mother--in this adaptation of the acclaimed one-character show.
Best of: Jeff's Favorite Moments,"Host Jeff Corwin relives some of his favorite animal moments from the show including an adventure with mighty Humpback Whales, Kodiak Bears, an adorable baby Dolphin, and ancient New England Sturgeon. Jeff's daughter Maya is along for the ride on this trip down memory lane."
"No Contract, No Cookies: The Stella D'Oro Strike",Follows the struggle of 138 mostly immigrant workers who strike to save their jobs at a famous bakery in the Bronx when a private equity firm buys the bakery and demands wage cuts of up to 30%.
Ron Popeil,The inventor and TV pitchman Ron Popeil is profiled; and a cellphone is used to measure rooms and create a floor plan. Also: a segment on a listening device that can find people buried after an earthquake; an Airmail's impact on how people communicate. (From TV guide).
Joe and Caspar Hit the Road,YouTube personalities Joe Sugg and Caspar Lee go on a road trip driving all around Europe.
Uss Arizona: Part 2,The USS Arizona is more than a memorial to America's past - it is a scientific treasure with immense value. Learn about the new methods and an ROV being developed to map and explore this underwater wonder.
Doggie Rocket Toy,"Host Mo Rocca shows us: The jet ski that is also a submarine. The inventor of a dog toy that's a blast. How radio signals enabled flying at night. And, building rope bridges with drones."
Episode #24.2,"Matt LeBlanc and Chris Harris embark on an all-season US road trip in the latest convertible supercars from Lamborghini and Porsche, journeying from broiling desert to snowy mountain. Back at the test track, Rory Reid sets the toughest of driving challenges for Chris and the Alfa Romeo Giulia, while actor David Tennant takes a spin in the new Reasonably Fast Car."
Easter Special,"Is dark chocolate good for you? Could daffodils help treat Alzheimer's disease? Jimmy, Kate and Matt uncover remarkable secrets about the nation's favourite springtime produce."
The 11th Hour,A look at the state of the global environment including visionary and practical solutions for restoring the planet's ecosystems.
Libya,"Bourdain looks at the country through personal stories, food--and the music of anti-Qaddafi rapper expats who returned to fight."
The Guilty Fleeth,"As law enforcement begins to close in on the 20th Century Motor Car Company, Liz once again goes on the lam."
Game Over,"As the rivalry between Fred and the Watkins intensifies, 8chan is relaunched as ""8kun,"" where Q re-emerges after months being offline."
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,"Using extensive interviews with survivors and archival footage, an examination reveals the aftermath of the atomic bombing of Hiroshima and Nagasaki."
In the Shadow of the Towers: Stuyvesant High on 9/11,"Drawing on intimate access to eight eyewitnesses, this documentary offers a unique perspective on this tragic events of September 11, 2001."
Myanmar,"With the slight relaxation of control by the government of Myanmar, Tony is finally able to explore one of the most beautiful areas of Asia."
Meth Storm,"[HBO] HD. This documentary looks at meth addiction in rural America from the perspective of dealers, users and law enforcement."
Dope Sick Love,"When you're a junkie, the money comes and goes--and so does the high. Do relationships stand a chance among addicts? Meet Matt & Tracy and Sebastian & Michelle--two New York City couples looking for love, and fixes, in all the wrong places. This startlingly candid documentary follows these two drug-addicted couples as they eke out a bare-bones existence on the streets of New York, desperately trying to score cash to pay for their next fix. The result is an unflinching, captivating examination of the human need for love and escape--and the virtual impossibility of finding anything more than temporary solace."
Part 1: Lake Nasser,"Lake Nasser is the result of the construction of the Aswan High Dam. The consequences, positive and negative, of the existence of this huge reservoir are equally spectacular. Though electricity reaches the smallest Egyptian villages the Nile Delta, deprived of its silt, is gradually disappearing."
No Way Out,"In a nightmarish story, a young girl being raped by her stepfather tells her family and the authorities - and no one believes her."
"Remembering the Artist: Robert De Niro, Sr.","Robert De Niro, Sr., was a celebrated painter obscured by the pop-art movement. His life and career are chronicled in the artist's own words by his contemporaries and, movingly, by his son, the actor Robert De Niro."
Berlin,"What happens when a city with a tolerant, public conversation about sex is joined by people from conservative traditions?"
Not All White People,"While in and around Seattle, Kamau takes a look at different forms of activism that white people are using to combat America's history of white supremacy and the rise of extreme right wing groups across the country."
"Bryce Canyon: Horses, Hoodoos and Mud Water","Jack and Colton saddle up and check out the land of hoodoos, then go back country camping... ultra-light with no tent. It's just them and the creatures of the canyon floor."
South Sudan,The documentary shows the atrocities caused by the LRA and the resistance offered by the ""Arrow Boys"" as witnessed by Photo-Journalist Veronique de Viguerie.
Japan,"Dr. Sanjay Gupta goes to Japan to see how inhabitants of Tokyo deal with work induced stress, and to learn why people in Okinawa, the ""Land of the Immortals,"" live such long lives."
Gasland Part II,"A documentary that declares the gas industry's portrayal of natural gas as a clean and safe alternative to oil is a myth, and that fracked wells inevitably leak over time, contaminating water and air, hurting families, and endangering the earth's climate with the potent greenhouse gas methane."
Protect and Serve?,"Camden, New Jersey has a reputation as one of the country's most dangerous cities; W. Kamau Bell heads there to see if a newly implemented community policing program is helping the relationship between citizens and the police force."
Ali & Cavett: The Tale of the Tapes,"The life and times of Muhammad Ali, as shown through the lens of his numerous appearances on The Dick Cavett Show (1968)."
The Canadian Way,Kamau visits Canada to see if it's all it's cracked up to be.
"Automation Problems, Beauty Problems, Gun Problems","Wyatt looks at the threat of robots taking human jobs, less lethal policing alternatives than firearms, and proposes a solution to environmentally harmful beauty products."
Episode #3.3,[HBO] HD. DNC Chair Tom Perez on the coronavirus; House Majority whip James Clyburn; the first case of COVID-19 in Nepal; and more.
Koran by Heart,"A global contest reading of the Quran by young Muslim children that takes place in Cairo, Egypt annually during Ramadan. A coming of age story about Muslim kids in modern times."
Dangerously Cute,Jungle Jack views the obnoxious side of six deceptively darling animals. Perilous exotic animals occasionally wear a disguise.
The Bee Gees: How Can You Mend a Broken Heart,"An exploration of the history of the Bee Gees, featuring revealing interviews with oldest brother Barry Gibb, and archival interviews with the late twin brothers Robin and Maurice."
Albania,"In his most challenging adventure yet, Romesh explores Albania, a Balkan country transitioning from an Orwellian communist dictatorship to a European democracy."
The Dig,"With new info about the location of the girls' possibly buried bodies, Jax and Sarah prepare for a dig that could finally provide the answers."
Rape in a Small Town: The Florence Holway Story,"On Easter Eve, 1991, 75-year-old Florence Holway was brutally attacked, beaten and raped in her small rural New England home. Barely surviving the attack, she vowed that she would do everything in her power to see that her 25 year old attacker, John LaForest, who had a past criminal record no less, could never do the same thing again to another innocent woman."
Everglades: Slough Slogging & Sea Kayaking,Colton and Jack are slogging their way through the sloughs of Florida's Everglades National Park. Then it's a marathon kayak adventure out to one of the remote keys in the gulf coast.
Fatherless Towns,"In the Richmond City jail, thirteen inmates are preparing for an unprecedented event - the ""Date with Dad"" father/daughter dance."
Paradise Lost 3: Purgatory,A further followup of the case of the West Memphis Three and the decades long fight to exonerate them that finally gained traction with new DNA evidence.
Very Ralph,A documentary about the origin and the upgrowth of the fashion label Ralph Lauren.
Mondays at Racine,"Every third Monday of the month, two bold, brassy sisters open the doors of their Long Island hair salon to women diagnosed with cancer. As locks of hair fall to the floor, women gossip, giggle, weep, face their fears, and discover unexpected beauty."
The Mystery of the Gainesville Murders (Part 2),"Five college students are found brutally murdered in Gainesville, Florida. However, it takes investigators months - and the discovery of a campsite, a screwdriver and an audiotape - before they can identify who the serial killer was."
Mapplethorpe: Look at the Pictures,An examination of the life and work of the revered and controversial photographer Robert Mapplethorpe.
Robert Durst Part 1: World's Worst Fugitive,"The story of the millionaire heir to a vast real estate fortune who has been linked to vast real estate fortune who has been linked to the deaths of his wife, his best friend, and his neighbor."
Zodiac Killer: I Am the Zodiac Part 1,The true identity of the ""The Zodiac Killer"" is his pseudonym self designated. He is a mystery since his killing spree was reported in the late 1960s - 1970s. He operated in Northern California demanding public notoriety for his crimes.
Ikaria: The Island Where People Forget to Die,A visit to the remote Greek island of Ikaria where inhabitants live longer than most Americans and try to maintain their centuries old way of life in a modern world.
The Bombing of Oklahoma City: The Explosion (Part 1),"On April 19, 1995, Timothy McVeigh, a 26-year-old U.S. army veteran, detonated a 7,000 pound truck bomb outside the Alfred Murrah Federal Building in downtown Oklahoma City, claiming the lives of 168 innocent people."
Elvis Presley: The Searcher,Elvis Presley's evolution as a musician and a man.
The Great Cateferia Takeover,"Meet the Rethinkers--a group of elementary, middle-school and high-school students in New Orleans who are determined to bring healthier (and tastier) options to their district's school cafeterias."
Plastic Disasters,"Tummy tuck. Nose job. Lipo. Millions of people routinely undergo these cosmetic surgeries each year, hoping the results will help them look and feel better. But when something goes wrong, the consequences can be devastating. This HBO Documentary Films presentation exposes the dark side of plastic surgery with a shocking look at three case studies of procedures that went horrifically wrong. Featuring operating-room footage, home videos, personal 'before' and 'after' photos and interviews with patients' doctors and lawyers, the film reveals the physical and emotional havoc wrought by subsequent corrective surgeries, the toll it takes on family and friends, and the knowledge that patients' ordeals could have been avoided had they not had plastic surgery in the first place."
Patagonia: Paradise Bought,"A report on an American conservationist who has purchased vast tracts of land in Patagonia, much to the dismay of local developers."
Children of the Prophet,"A look into the FLDS church, headed by Warren Jeffs, and those who have escaped or been removed from the community in Colorado Springs."
The New KKK,WKB visits the ""new"" and ""improved"" KKK that is more concerned about its branding but still has the same hate.
"The Olympic Games, Amsterdam 1928",A documentary on the 1928 Olympic Games in Amsterdam.
Chapter 3: From Outpost to Colony,"The US efforts to colonize the Moon will follow the Lunar Exploration Roadmap, laid out with events taking place over decades. Other countries have plans as well. How will robots be deployed to work on the Moon? At what stage will people inhabit the environment? What minerals will be harvested?"
Best of: Adventure Alaska,"Host Jeff Corwin shares some of his most exciting experiences in the great state of Alaska including diving with Stellar Sea Lions, tracking Brown Bears on Kodiak Island, caring for adorable Harbor Seals, and exploring Alaska's vast coastline."
Silencing the Song: An Afghan Fallen Star,[HBO] HD. This follow-up to 'Afghan Star' returns to see what has become of infamous Afghan talent show contestant Setara.
Dark Light: The Art of Blind Photographers,"Can vision succeed where eyesight fails? Can a blind person make meaningful photographs? How can the creator appreciate his own work? This film explores the artistry and innovation of Pete Eckert, Bruce Hall, and Henry Butler, blind photographers whose luminous work can help us see the world through their eyes."
"Siempre, Luis",An immigrant from Puerto Rico is determined to bring the musical 'Hamilton' to his island home.
Episode #3.4,"[HBO] HD. This week, AXIOS features a rare interview with China's Ambassador to the United States Cui Tiankai; plus. Texas Senator Ted Cruz."
The Childhood Home of Jesus,The episode unpacks the archaeology of the first century house believed to be the childhood home of Jesus. It explores what is known about Jesus' early life and depicts his formative relationship with his mother Mary.
Episode #29.1,"Freddie Flintoff, Chris Harris and Paddy McGuinness return with a new drive-in studio. They also visit Paddy's home town of Bolton to test three new company cars by spending 24 hours in them - with no getting out. And Chris heads to Italy to test the blistering Ferrari SF90 supercar."
"Les jeux olympiques, miroir de la société",How did one man succeed in relaunching the Olympic spirit and turn the Games into a global event?
Triangle: Remembering the Fire,"On March 25, 1911, a catastrophic fire broke out at the Triangle Shirtwaist Company in New York City. Trapped inside the upper floors of a 10-story building, 146 workers--mostly young immigrant women and teenage girls--were burned alive or forced to jump to their deaths to escape an inferno that consumed the factory in just 18 minutes. It was the worst disaster at a workplace in New York State until 9/11. The tragedy changed the course of history, paving the way for government to represent working people, not just business, for the first time, and helped an emerging American middle class to live the American Dream."
King: A Filmed Record... Montgomery to Memphis,Follows Martin Luther King's life and decades long civil rights activism.
Going Clear: Scientology & the Prison of Belief,A documentary looking at the inner-workings of the Church of Scientology.
Poor Little Rich Boy,Durst reveals details about his childhood including witnessing his mother's suicide.
NorCal Rapist: Phantom Predator Part 1,"Roy Charles Waller, serial rapist worked at the University of California. He alluded police for decades and when captured to face some of his victims in court, it was revealed the use of a family DNA match through GED match was his demise."
America's World War I Centennial,"At war since 1914, a depleted Europe lay in ruins. Only American intervention in 1917 would turn the tide for the Allies against the Central Powers."
The Lynching,"in 1981 Mobile Al, black teenager Michael Donald is found lynched. His mother fights for an investigation into the local KKK."
A La Calle,The documentary features interviews with prominent figures opposed to the government of Nicolas Maduro in Venezuela.
Road Strip,Strippers that travel from city to city chasing their dreams as well as money.
Lyon,"In this food-centric episode, Bourdain accompanies world-renowned chef/restaurateur Daniel Boulud as they travel back to Boulud's hometown of Lyon, France for a ""once-in-a-lifetime"" pilgrimage to the city's rich food culture and legendary chefs, with a focus on Nouvelle Cuisine innovator Paul Bocuse."
Television Gets Real,"As a reaction to the sugar-infused shows of the 60's, television in the 70's was radical, ground-breaking and experimental. Television got real."
Salesman,Four dogged door-to-door Bible salesmen travel from Boston to Florida on a seemingly futile quest to sell luxury editions of the Good Book to working-class Catholics.
Making Fun,"Exploring the history of Parody and Satire in films, television, print, radio and the internet."
Fists of Freedom: The Story of the '68 Summer Games,"Documentary leading up to, during and after the 1968 Summer Olympic Games in Mexico City. Features interviews with athletes, including John Carlos, Tommie Smith and George Foreman, activist Dr. Harry Edwards, journalists and archival footage of the Games and the fallout after the raised fisted gloves by Carlos and Smith."
The Resignation of Benedict XVI,The challenge of balancing spiritual and worldly interests changes as papal authority grows.
A Satellite,"Some of the best and most up-to-date communication satellites in the world are designed and built in Stevenage in Britain. With exclusive access to specialist manufacturer Astrium, this programme shows step-by-step how to assemble one of the most complicated machines in the world."
""What the Hell Did I Do?"",Filmmakers spend nearly a decade investigating Robert Durst and his alleged crimes.
Yellowstone,"Yellowstone, the world's first National Park, is known for its beautiful forests, wildlife, and waterfalls - but beneath its water's surface, there lies a complex environment. From deep geothermal smokers, to marine life, the crown jewel of the Park Service is an underwater wonder in itself."
May Competes In A World Rallycross Race Alongside Tanner Foust,"Clarkson compares the Jaguar F-Type to a remastered version of the legendary E-Type, Hammond tests an all new Mazda MX-5, May drives a rallye car against Top Gear US presenter Tanner Foust and Nicolas Hoult is the star in the reasonably priced car."
Sequoia: In the Land of Giants,Jack and Colton trek through the land of giants in California's Sequoia National Park. Then it's a face-off with fear as they take on a 150-foot climb straight up a sheer granite rock wall.
Brothers in Arms,"A confident, popular John F. Kennedy is sworn in as the youngest ever elected American president, but he will have to rely on his brother, Attorney General Robert F. Kennedy, to help him navigate the disasters of 1961."
Glee: The 3D Concert Movie,"A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them."
Hollywood Con Queen,"Dreams and deception collide when a brilliant con artist impersonates high-profile Hollywood producers to scam aspiring young artists. After the FBI teams with a dogged investigator to hunt this fraudster across the globe, a twisted tale, reminiscent of classic caper movies, ensues."
